155;3;4;Cavoletto di Bruxelles;189;326
156;3;4;Cavolfiore;325;560
157;3;4;Cavolo cinese;625;1077
158;3;4;Cavolo rapa;301;519
159;3;4;Cavolo riccio;166;286
160;3;4;Cavolo rosso;280;483
161;3;4;cavolo cappuccio;406;700
162;3;4;Cetriolo;542;933
163;3;4;Cipolla;203;350
164;3;4;costine;428;737
165;3;4;Crescione;428;737
166;3;4;Fagiolini;406;700
167;3;4;Finocchio;262;452
168;3;4;Funghi;369;636
169;3;4;Insalata;580;1000
170;3;4;Melanzana;339;583
171;3;4;Peperone;387;667
172;3;4;pomodoro;406;700
173;3;4;Porro;262;452
174;3;4;Ravanello;508;875
175;3;4;Rucola;325;560
176;3;4;sedano;542;933
177;3;4;sedano rapa;369;636
178;3;4;Spinaci;353;609
179;3;4;verza;406;700
180;3;4;Zucca;428;737
181;3;4;Zucchina;406;700
182;3;6;olio oliva;9;16
183;3;6;pesto;18;31
184;3;6;olio vegetale ;9;16
185;3;6;olive sottolio;32;55
186;3;6;mandorle;14;24
187;3;6;noci / pecan;12;21
188;3;6;nocciole;14;23
189;3;6;anacardi;14;24
190;3;6;pistacchi;14;25
191;3;6;semi di zucca;14;25
192;3;6;semi di girasole;15;25
193;3;6;semi di canapa;14;25
194;3;6;avocado;51;88
195;3;6;pinoli;14;24
196;3;6;sesamo;14;24
197;3;6;maionese vegetale;15;27
198;5;2;amaranto  (chicco, farina, pasta confezionata, cous cous, bulgur..);4;5
199;5;2;avena (chicco, farina, pasta confezionata, cous cous, bulgur..);4;5
200;5;2;cracker integrali;4;5
201;5;2;cracker magretti galbusera;4;5
202;5;2;cracker senza strutto;4;5
203;5;2;farro (chicco, farina, pasta confezionata, cous cous, bulgur..);5;6
204;5;2;frumento (chicco, farina, pasta confezionata, cous cous, bulgur..);5;6
205;5;2;gallette di mais, riso, ecc.. (variare);5;6
207;5;2;gran bauletto rustico;6;7
208;5;2;gran cereale;4;4
209;5;2;grano saraceno (chicco, farina, pasta confezionata, cous cous, bulgur..);5;6
210;5;2;grissini con olio (integrali/bianchi);4;5
211;5;2;grissini con strutto;4;5
212;5;2;mais;4;5
213;5;2;miglio;4;5
214;5;2;orzo (chicco, farina, pasta confezionata, cous cous, bulgur);5;6
215;5;2;pan carr /pane semidolce /pane al latte;5;6
216;5;2;pane (integrale, bianco, di frumento, di farro, di segale, di kamut..) senza strutto o latte;7;8
217;5;2;pasta fillo;5;6
218;5;2;pasta fresca (no uovo);6;8
219;5;2;pistoccu;5;6
220;5;2;quinoa (chicco, farina, pasta confezionata, cous cous, bulgur..);5;6
221;5;2;riso  (chicco, farina, pasta confezionata, cous cous, bulgur);5;6
222;5;2;segale;5;6
223;5;2;yogurt di avena;23;29
224;5;2;segale (chicco, farina, pasta confezionata, cous cous, bulgur..);5;6
225;5;2;patate;21;26
226;5;4;Asparagi;451;556
227;5;4;Barbabietola;189;233
228;5;4;Bietola;428;526
229;5;4;Broccoli;232;286
230;5;4;Carciofo;173;213
231;5;4;carota;226;278
232;5;4;Cavoletto di Bruxelles;189;233
233;5;4;Cavolfiore;325;400
234;5;4;Cavolo cinese;625;769
235;5;4;Cavolo rapa;301;370
236;5;4;Cavolo riccio;166;204
237;5;4;Cavolo rosso;280;345
238;5;4;cavolo cappuccio;406;500
239;5;4;Cetriolo;542;667
240;5;4;Cipolla;203;250
241;5;4;costine;428;526
242;5;4;Crescione;428;526
243;5;4;Fagiolini;406;500
